Nume*;Email*;Județ*;Localitate*;Adresă*;Cod poștal*;Criterii de admitere*;Preț*;Servicii* - multiple;Categorii de îngrijire - multiple;Previzualizare imagine;Siglă cămin;Link video;Substituent video;Galerie imagini - multiple;Descriere scurtă*;Descriere*
"Perfect Residence";;;;;;;;;;;;;;;;"Perfect Residence este un camin batrani, situat in Bucuresti, in zona 1 Mai – Podul Constanta, avand servicii personalizate pentru fiecare rezident in parte. Caminul are o capacitate de 30 persoane, avand camere de 2,3 si 4 locuri. Perfect Residence este specializata in a acorda cea mai buna comunitate si calitate vietii rezidentilor nostri. Reputatia si excelenta au fost castigate prin eforturile personalului bine pregatit, angajatilor dedicati in permanenta ridicarii calitatii vietii celor care se afla deja in familia noastra de la “Perfect Residence” Tot ceea ce facem reflecta standardele inalte la care incercam sa ne ridicam zi de zi. Avem asistenta medicala 24h/24h, 365 de zile pe an."
"Caminul Sfantul Petru";;;Popesti-Leordeni;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Fundatia Romana Sfantul Petru a luat fiinta in anul 1997, timp in care a desfasurat mai multe activitati pe proiecte sociale. Pensiunea pentru batrani deschisa de catre Fundatia Romana Sfantul Petru, incearca sa gaseasca solutia cea mai potrivita de ingrijire a persoanelor varstnice ce nu isi mai pot purta singure de grija si devin dependente de familiile lor. Ne adresam familiilor ce au in grija persoane ajunse la varsta a treia. Batranii ajung intr-un moment in care au nevoie de sprijinul si ajutorul celor din jurul lor, au nevoie de ingrijire permanenta, unii fiind imobilizati la pat, altii sunt loviti de crunta boala Alzheimer. Dorim sa considerati ca noi putem deveni un sprijin pentru dumneavoastra prin caminul nostru, oferindu-le batranilor ingrijire intr-o atmosfera calda si prietenoasa, de familie. Viata de zi cu zi, stresul general, efectiv lipsa timpului liber ne fac sa ni se para aproape imposibil sa facem fata cu brio ingrijirii unui batran. Cei mai multi dintre dumneavostra probabil ca alegeti sa va ocupati personal de ingrijirea lor, insa oare cu ce cost? Cel mai probabil neglijandu-va familia sau prin amanarea altor activitati/proiecte. Este adevarat ca este datoria noastra, a tuturor sa ne ingrijim cat mai bine batranii, insa trebuie sa ne gandim ca alegerea unui centru rezidential de ingrijire nu este decat cea mai buna varianta. Din pacate nici ingrijirea la domiciliu nu este intodeauna o solutie viabila, mai ales din cauza faptului ca nu vom avea asitenta permanenta. Despre Alzheimer si modul in care ne afecteaza viata! Boala Alzheimer este o forma de dementa, fiind o boala degenerativa a creierului. Afecteaza memoria, gandirea si comportamentul. Deteriorarea memoriei este o caracteristica importanta pentru stabilirea acesteia sau oricarei forme de dementa. Schimbarea urmatoarelor elemente trebuie sa fie si ea vizibila: limbaj, abilitatea de a lua decizii, judecata, atentia, precum si alte zone ale functiilor mentale si personalitatii. Dragoste, tandrete, rabdare Bolnavul de Alzheimer devine alta persoana decat cea pe care am cunoscut-o initial si alaturi de care traim. N-o recunoastem, nu ne recunoaste nici ea, dar are nevoie in mod special de dragoste, tandrete, acceptare, rabdare, intelegere, un mediu de viata linistit. Asa cum si cel care il ingrijeste are nevoie de acelasi lucru din partea celor din jur; de consiliere, terapie specializata, momente de respiro, intimitate sau schimbare de decor, care sa-i asigure normalitatea judecatii. Doar el e cel ce duce greul! Acasa batranii pot devin foarte periculosi daca nu au pe cineva care sa-l supravegheze permanent. Cunoastem faptul ca fiecare persoana este unica asa ca incercam sa oferim solutii personalizate pentru fiecare in parte si asiguram ingrijirea varstnicilor intr-un ambient prietenos, cu ajutorul personalului atent selectionat in acest sens. Rezidentii nostri beneficiaza de o ingrijire exemplara astfel incat se poate spune ca sunt ingrijiti mai bine decat acasa. Consultatiile medicale zilnice, consilierea psihologica sau atentia cu care tratam persoanele cu sau fara handicap, ne fac din ce in ce mai mai increzatori in fortele proprii si nu in ultimul rand mai buni, mai dedicati acestui proiect. Deasemenea primim in ingrijire pe perioade determinate sau nedeterminate si persoane care au fost diagnosticate cu Alzheimer, Parkinson sau alte boli degenerative. Avem locuri libere pentru doamne sau domni si primim persoane care au fost diagnosticate cu Alzheimer, Parkinson, psihoza de involutie, dementa mixta, persoane care au suferit AVC, imobilizate la pat, cu handicap locomotor mediu sau sever si cu alte probleme de sanatate."
"SeniorMed";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Infirmiere, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Centrul de ingrijire pe termen lung SENIORMED, incearca sa gaseasca solutia cea mai potrivita de ingrijire a persoanelor varstnice ce nu isi mai pot purta singure de grija si devin dependente de familiile lor. Ne adresam familiilor ce au in grija persoane ajunse la varsta a treia. Batranii ajung intr-un moment in care au nevoie de sprijinul si ajutorul celor din jurul lor, au nevoie de ingrijire permanenta, unii fiind imobilizati la pat, altii sunt loviti de crunta boala Alzheimer. Dorim sa considerati ca noi putem deveni un sprijin pentru dumneavoastra prin caminul nostru, oferindu-le batranilor ingrijire intr-o atmosfera calda si prietenoasa, de familie la standarde ridicate…"
"Casa de Odihna Sfantul Toma";;;;;;;;"Asistenta medicala, Infirmiere, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Reflexoterapie";;;;;;;;"Avem locuri disponibile in camere cu doua ,trei , patru si cinci paturi. Locurile se ocupa pe principiul primul venit primul servit. Preturile noastre variaza intre 1800 lei si 2200lei/lunar, ,functie de starea de sanatate a celui care intra in pensiune. .Aceste preturi includ: -pensiune completa cazare +hrana preparata zilnic , -igiena corporala zilnica asistata -baie saptamanala asistata -supraveghere medicala permanenta -administrarea medicatiei -saptamanal spalat de rufe -o sedinta de 50 minute de masaj lunar. -hidromasaj o sedinta lunar. -servitul hranei in camera daca este cazul , cu ajutor la mancat daca este cazul. -ajutor la deplasare -socializare in camera de socializare,pe terasa sau in gradina pensiunii. Pentru intrare in pensiune , este necesara o scrisoare medicala in care sa fie stipulate bolile de care sufera viitorul rezident, schema de tratament si faptul ca nu sufera de boli contagioase.Plata tuturor serviciilor se face de la intrarea in pensiune pana la sfarsitul lunii in care a avut loc intrarea , apoi intre 20 si 25 ale lunii curente pentru luna urmatoare."
"Camin Bunici Pipera – Voluntari";;;;;;;;"Asistenta medicala, Consult medical regulat, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"CENTRUL REZIDENTIAL DE BATRANI “CAMIN BUNICI” PIPERA vine in sprijinul Dvs oferindu-va linistea prin garantia unei batraneti senine cu ingrijire adecvata oferita celor dragi. Inca de la inceput centru ingrijire varstnici “Camin Bunici” a fost conceput si dotat pentru a oferi un confort deosebit si siguranta seniorilor cazati in centrul nostru. Este locul unde ii pastrati aproape pe bunicii cei dragi si in acelasi timp aveti garantia ca acestia primesc atentia si grija pe care o merita. La noi gasiti un loc linistit, asistenta medicala, personal calificat si o atmosfera prietenoasa, suntem un camin de batrani ce indeplinim cele mai exigente standarde de calitate iar serviciile sunt adaptate fiecarui resident in parte. Astfel varstnicii gazduiti in centru rezidential seniori “Camin Bunici” nu se vor simti singuri si vor fi inconjurati de persoane asemenea lor cu care pot discuta sau impartasii activitati placute."
"Baronesse Center";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Infirmiere, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Baronesse Center inseamna ACASA. Si daca esti acasa, inseamna cat te simti linistit, ocrotit, de cei dragi care te inconjoara cu dragoste si afectiune. Amintirile sunt cele mai duioase randuri pe care le-am subliniat in cartea vietii. Recitindu-le la batranete ne coboram cu minte aspre vremile acelea care pe atunci ne entuziasmau, dar care astazi numai ne mangaie in singuratate (Vasile Conta). Inseamna sa ai cu cine depana amintiri la gura semineului, iarna, sa povestesti despre cei dragi. Este locul unde poti lega prietenii, impartasi ganduri. Casa frumos ambientata, avand camere luminoase si calde, impreuna cu atitudinea blanda si plina de intelegere a personalului nostru specializat, determina ca Baronesse Center sa devina un adevarat camin pentru cei care vor sa ne calce pragul. Curtea frumoasa te imbie sa te plimbi in serile calde, luminate feeric de felinare, foisorul fiind locul racoros unde poti bea un ceai, sau sa joci un remi, sah. Baronesse Center beneficiaza de o atmosfera aparte, avand camere spatioase, frumos aranjate, cu doua, trei si patru paturi. Mancarea buna, cat mai naturala, dulciurile facute in casa, grija si afectiunea personalului fac din acest frumos centru un adevarat camin. Plasma din living reuneste bunicii si bunicutele la vizionarea stirilor, documentarelor, sau a unui film bun, in fiecarezi. O mica biblioteca cu carti, un set de pensule si creioane colorate, pot face ca timpul petrecut sa fie cat mai agreabil. Buna dispozitie a personalului, optimismul ce ne caracterizeaza, dar mai ales iubirea de oameni, fac o atmosfera cat mai placuta pentru cei care ne trec pragul si vor sa ramana la noi.ACASA. Stilul elegant si bunul gust, armonia ce domneste in toata casa, face ca fiecare zi petrecuta sa fie cat mai frumoasa si mai placuta. Faptul ca Baronesse Center se afla in zona centrala a orasului, langa Timpuri Noi, face ca drumul vizitarii celor dragi sa fie cat mai facil."
"Casa Silistea";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie";;;;;;;;"Centrul de ingrijire Casa Silistea ofera siguranta si calitatea bine meritate de seniorii nostri. Oferim servicii garantate si personalizate in functie de necesitatile fiecarui rezident. Impreuna, putem sa le oferim o viata mai buna si mai sigura. Impreuna, putem sa fim o famile pentru ei. Oferim supraveghere permanenta si ingijire adaptata de medicii nostri specialisti in functie de istoricul medical al fiecarui rezident."
"Altra Casa Felice";;;Ilfov;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Un loc, o comunitate unde siguranta inlocuieste grijile și relaxarea ia locul stresului. Un loc unde fiecare se poate retrage pentru o bine meritata odihna și recuperare, o lume unde acasa inseamna mai mult decat confortul unui camin cald, inseamna o familie extinsa, bucuria de a impartasi preocupari comune și povesti de viata cu alti oameni prietenosi, deschisi si dornici sa comunice. Poiectul unor familii de medici si unor oameni tineri care inteleg necesitatile oamenilor in varsta si isi propun sa le ofere tot ce si-ar putea dori, exact cum ar face pentru proprii lor bunici. Ajunsi la varsta cand se pot retrage din tumultul vietii active, merita sa se bucure de tot confortul intr-un cadru elegant si adaptat perfect nevoilor lor. Toate intr-un cadru ideal in mijlocul naturii, la doi pasi de padurea Baneasa, aproape de toate avantajele capitalei, dar departe de zgomotul orasului. Complet echipat pentru a asigura atat servicii medicale de recuperare la cel mai inalt nivel cat si un maxim de confort si siguranta, centrul Altra Casa Felice are o capacitate de peste 120 de paturi, dispuse in 4 vile de lux alaturate si 8000 m2 de gradina, unde rezidentii se pot relaxa in gradina, terasa, foisor sau la piscina. Programele individualizate constant pentru fiecare rezident, designul prietenos usor accesibil si echipa medicala de un inalt grad de profesionalism ii vor ajuta pe cei dragi sa se simta confortabil in noua casa si sa redobandeasca increderea in fortele proprii si in cei din jurul lor. Servicii oferite: Servicii si programe personalizate constant in functie de necesitatile rezidentilor; Cazare pe perioade determinate/nedeterminate in camere private/semi-private cu bai proprii, in regim hotelier all-inclusive; Activitati sociale, recreative individuale sau de grup; Programe de recuperare medicala post-operatorie si programme de recuperare medicalaa ce pot fi aplicate pentru o gama larga de afectiuni precum: afectiuni neurologice, afectiuni cardiovasuclare, afectiuni reumatismale, afectiuni ale aparatului locomotor; Programe de recuperare geriatrica individualizate si monitorizate constant; Asistenta medicala de specialitate 24/24 h; Programe de fizioterapie si kinetoterapie individualizate si monitorizate constant; Diete stabilite de echipa noastra medicala, personalizate constant in functie de necesitatile rezidentilor, alimentele fiind pregatite zilnic in cadrul bucatariilor proprii; Posibilitate inregistrare medic familie din echipa proprie; Servicii curatatorie, uscatorie."
"Egregora Geriatrics Clinic";;;;;;;;;;;;;;;;"Egregora Geriatrics Medical – Pentru copii si parinti o viata fara griji! Locatia este una de exceptie, fiind amplasat in zona rezidentiala Pipera respectiv in imediata vecinatate a Gradinii Zoologice din Padurea Baneasa. Daca doriti sa deveniti rezident al centrului nostru, aveti la dispozitie mai multe posibilitati de cazare si anume: cazare pentru o zi per saptamana per luna perioada nedeterminata Rezidentii beneficiaza de conditii ALL INCLUSIVE absolut deosebite: cazare la standard hotelier de 4****, supraveghere, ingrijire medicala permanenta (24/24 ore), meniu variat si atent pregatit; recuperare; ajutor pentru igiena si ingrijire corporala si deplasare; servicii de monitorizare a starii de sanatate si coordonare; alte servicii de recuperare in ambulatoriu, consumabile, etc. Centrul nostru geriatric cu standard hotelier si servicii de lux – unice in Romania, functioneaza ca un centru de excelenta geriatrica si de ingrijire a persoanelor varstnice dar si ca centru de recuperare, detinand departamente de fizioterapie si kinetoterapie pentru stari post operatorii, AVC, Alzheimer, etc., alcatuit din medici cu renume care au la dispozitie dotari de ultima generatie; vom lucra alaturi pentru a identifica cele mai bune tratamente, pentru imbunatatirea conditiei dumneavoastra de sanatate. Alte departamente: geriatrie, memory care, recuperare, day care center, fizioterapie. OBIECTIVELE NOASTRE: intretinerea si imbunatatirea conditiei medicale, fizice si psihice a fiecarei persoane rezidente intr-un mediu intim, select si rafinat, curat, protejat, ajutor de specialitate si sustinere morala ! Noi lucram cu sufletul alaturi de dumneavoastra !"
"Casa Buna Speranta";;;;;;;;"Asistenta medicala, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Cu o experienta de peste 10 ani de zile Casa Buna Speranta primeste zilnic rezidenti oferindu-le tot ce au nevoie pentru ingrijirea si supravegherea lor.( cazare, supraveghere, masa, aplicat tratament, kinetoterapie, servicii psihologice, medic psihiatru, medic de familie, servicii de spalatorie) Caminul de batrani “Casa Buna Speranta” este situat in orasul Popesti Leordeni, jud. Ilfov, la 10 min de Bucuresti intr-o zona linistita. Supraveghere de specialitate permanenta, administrare tratament oral, injectabil, perfuzabil de catre asistenta medicala cf prescriptiei medicale, servicii de ingrijire personala, kinetoterapie, cazare in camere modern echipate cu bucatarie si baie proprie, servicii de spalatorie, loc de servit masa atat in interiorul locatiei cat si in exterior in foisorul amplasat in curtea caminului, alimentatia rezidentilor nostri este pregatita zilnic cu ingrediente proaspete tinand cont de regimul fiecaruia , servicii psihologice, evaluare psihologica terapii ocupationale, medic psihiatru, medic de familie."
"Affinity Life Care";;;Bucuresti;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Affinity Life Care Te ajutam sa ai grija de cei dragi! Centrul nostru este situat in centrul Bucurestiului, la doi pasi de Arcul de Triumf, fiind o a doua casă pentru rezidenți, unde ei sunt mereu pe primul plan și vor primi toată atenția de care au nevoie. Iar atenție înseamnă mai mult decât prestarea unor servicii medicale sau îngrijirea de zi cu zi. Îi ajutăm pe cei care ajung la noi să-și regăsească demnitatea, independența și bucuria de a trăi. Căminul de bătrâni Affinity Life Care a fost deschis la inițiativa unei familii de medici cu o experiență de peste 35 de ani, care a înțeles cât de multă nevoie au vârstnicii de un suport de acest fel, atunci când nu se mai pot descurca singuri. La noi, rezidenții vor primi cele mai bune servicii medicale, vor fi consultați zilnic, iar tratamentul personalizat recomandat de medici va fi întotdeauna respectat și monitorizat atent. De asemenea, vor beneficia de recuperare medicală, realizată prin programe individualizate și masaj, kinetoterapie sau fizioterapie, în funcție de necesități. Fondatorii Affinity Life Care au decis să înființeze acest centru destinat îngrijirii persoanelor în vârstă, ca o încununare a activității lor de patru generații în domeniul medicinei. De peste 70 de ani, membrii acestei familii și-au dedicat viața îngrijirii semenilor lor, alegând specializări medicale diverse, precum psihiatrie, chirurgie, medicină generală, radiologie, medicină de familie. Acumulând toată experiența aceasta, din generație în generație, membrii familiei s-au hotărât să pună bazele noului proiect, unde pe primul loc se află respectul și grija față de oameni, prin acordarea tuturor serviciilor medicale necesare în această a doua casă. Affinity Life Care este un loc intim, care oferă cele mai bune condiții de cazare, o curte unde rezidenții pot face plimbări în aer liber și mâncare proaspătă, preparată zilnic în propria bucătărie. Dieta este stabilită pentru fiecare rezident în parte, în funcție de afecțiunile de care suferă și de recomandările medicului nutriționist. Centrul nostru nu este un spital și nici un azil de bătrâni în sensul clasic, pentru că fiecare rezident care ajunge la noi este pus pe primul plan și ajutat să ducă în continuare o viață cât mai activă, independentă. Pentru persoanele care nu au dizabilități, organizăm la centrul nostru diferite activități recreative, pentru ca ei să se simtă cât mai bine, să socializeze, să-și facă prieteni și să fie stimulați atât fizic cât și psihic. Desigur, legătura lor cu familia este esențială, de aceea încurajăm cât mai mult comunicarea și interacțiunile rezidenților cu cei dragi. Servicii Situat chiar în centrul capitalei, aproape de Arcul de Triumf, căminul de bătrâni Affinity Life Care oferă cele mai bune condiții de cazare, în camere cu 1-4 paturi și facilități premium (camere spațioase și luminoase, aer condiționat, baie proprie, televizor, lift interior, curte interioară, bibliotecă, sală de mese), astfel încât rezidenții noștri să se bucure în continuare de tot confortul pe care îl aveau acasă. Respect. Afinitate. Grijă față de oameni. Acestea sunt valorile în care credem! Dispunem de aparatură medicală de specialitate și de personal calificat, care poate îngriji în cele mai bune condiții chiar și pacienți aflați în stare gravă (paralizați, cu Parkinson, Alzheimer sau alte forme de demență). Îi ajutăm pe rezidenții care ajung la noi să-și recâștige independența și demnitatea, oferindu-le siguranță și îngrijirea de care au nevoie, cu multă blândețe și răbdare. Tarifele noastre nu sunt standard, ele variază în funcție de necesitățile rezidentului și de serviciile pe care le vom oferi. Prin urmare, pentru a primi o ofertă personalizată, vă invităm să luați legătura cu noi! Cazare de lux și servicii medicale premium Oferim rezidenților noștri servicii medicale la cele mai înalte standarde de calitate și programe personalizate de recuperare medicală atent monitorizate, care includ: – Kinetoterapie; – Fizioterapie; – Masaj; – Dietă personalizată (stabilită la recomandările medicului nutriționist); – Colaborare cu alte centre de recuperare geriatrică; – Colaborare cu medici specialiști. Beneficii pentru rezidenții Affinity Life Care Indiferent de perioada pe care o vor petrece la centrul nostru, rezidenții vor beneficia de: – Personal disponibil non-stop (asistente, infirmiere, kinetoterapeuți); – Medic primar generalist prezent zilnic pentru consultații; – Consultații oferite de medici specialiști colaboratori (psihiatru, psiholog, ortoped, cardiolog, geriatru); – Recoltare de probe pentru analize medicale; – Administrarea zilnică a tratamentului recomandat conform schemei și monitorizarea parametrilor fiziologici; – Fișă medicală actualizată constant; – Mâncare proaspătă, preparată în bucătăria noastră (persoanele care nu se pot deplasa vor primi mâncarea la pat sau prin sonde speciale, în cazul în care nu se pot alimenta natural); – Lenjerie de pat și prosoape schimbate ori de câte ori este nevoie; – Curățenie în cameră (zilnic sau de câte ori este nevoie); – Ajutor pentru igienă corporală (zilnic sau de câte ori este nevoie), inclusiv tratarea plăgilor și escarelor; – Comunicare cu familia (vizită sau telefonic); – Terapie ocupațională prin activități recreative și de stimulare cognitivă (jocuri, plimbări, muzică, desen etc. – în funcție de necesități și de preferințele rezidentului). Pachete de servicii oferite în cadrul azilului de bătrâni Affinity Life Care: – Îngrijire medicală cu cazare pe termen scurt – Îngrijire medicală cu cazare pe termen lung – Cazare pe termen lung pentru bătrânii singuri"
